Country,Date,DailyRevenue,UniqueCustomers,Transactions,TotalQuantity
Australia,2010-12-01,358.25,1,1,107
Australia,2010-12-08,258.9,1,1,214
Australia,2010-12-14,-27.75,1,1,-13
Australia,2010-12-17,415.7,1,1,146
Australia,2011-01-06,7154.38,2,2,4802
Australia,2011-01-10,81.6,1,1,96
Australia,2011-01-11,462.5,1,1,238
Australia,2011-01-14,177.00000000000003,1,1,60
Australia,2011-01-17,431.3,1,1,204
Australia,2011-01-19,238.5,1,1,113
Australia,2011-01-20,87.75,1,1,21
Australia,2011-01-28,384.68,1,1,110
Australia,2011-02-07,192.0,2,4,58
Australia,2011-02-15,14022.92,1,1,8384
Australia,2011-02-27,412.55,1,1,217
Australia,2011-03-03,16558.14,1,2,10162
Australia,2011-03-09,210.9,1,1,90
Australia,2011-03-24,286.25,1,1,77
Australia,2011-04-01,350.0,1,1,1
Australia,2011-04-04,-13.2,1,1,-8
Australia,2011-04-08,421.6,1,1,224
Australia,2011-04-28,-425.0,1,1,-100
Australia,2011-05-12,475.16,1,1,184
Australia,2011-05-17,11924.800000000001,1,1,8268
Australia,2011-05-20,766.3599999999999,1,1,396
Australia,2011-05-23,472.09,1,1,231
Australia,2011-05-31,-9.899999999999999,1,1,-6
Australia,2011-06-02,-23.0,1,1,-8
Australia,2011-06-15,23426.81,1,2,15241
Australia,2011-06-30,1760.96,1,2,740
Australia,2011-07-13,2796.36,1,2,4332
Australia,2011-07-14,902.09,1,1,429
Australia,2011-07-19,483.02000000000004,2,3,174
Australia,2011-07-24,505.46,1,1,214
Australia,2011-07-26,80.63999999999999,1,2,36
Australia,2011-08-12,608.76,1,1,374
Australia,2011-08-18,21880.44,1,1,12196
Australia,2011-09-01,2941.7200000000003,1,2,2836
Australia,2011-09-05,147.7,1,1,82
Australia,2011-09-16,519.89,1,1,317
Australia,2011-09-25,825.9200000000001,1,1,478
Australia,2011-09-28,596.5,2,4,330
Australia,2011-10-05,16471.77,1,2,7135
Australia,2011-10-06,678.76,1,2,266
Australia,2011-11-02,450.24,1,2,96
Australia,2011-11-03,375.24,1,1,408
Australia,2011-11-04,338.71000000000004,2,2,347
Australia,2011-11-15,5355.4,1,2,3130
Australia,2011-11-24,286.4,1,1,224
Belgium,2010-12-03,346.1,1,1,528
Belgium,2010-12-17,625.16,2,2,285
Belgium,2010-12-21,237.93,1,1,188
Belgium,2010-12-22,600.72,1,1,754
Belgium,2011-01-05,-2.95,1,1,-1
Belgium,2011-01-06,-31.949999999999996,1,1,-5
Belgium,2011-01-12,651.16,1,1,590
Belgium,2011-01-19,-11.25,1,1,-3
Belgium,2011-01-20,225.6,1,1,94
Belgium,2011-01-25,323.44,1,1,108
Belgium,2011-02-03,213.89999999999998,1,1,21
Belgium,2011-02-09,84.3,1,1,11
Belgium,2011-02-11,231.51,1,1,262
Belgium,2011-02-17,1119.2,2,2,508
Belgium,2011-02-18,-14.850000000000001,1,1,-3
Belgium,2011-02-21,192.31,1,1,194
Belgium,2011-02-24,-4.9,1,1,-2
Belgium,2011-02-25,189.9,1,1,91
Belgium,2011-02-28,149.95,1,1,15
Belgium,2011-03-01,559.12,1,1,171
Belgium,2011-03-03,410.0,1,1,126
Belgium,2011-03-10,-18.4,1,1,-7
Belgium,2011-03-14,357.07,1,1,91
Belgium,2011-03-20,226.3,1,1,215
Belgium,2011-03-21,347.35,1,1,139
Belgium,2011-03-23,614.55,2,2,685
Belgium,2011-03-24,837.59,1,2,356
Belgium,2011-04-07,240.88,2,2,243
Belgium,2011-04-08,-14.850000000000001,1,1,-3
Belgium,2011-04-10,476.49,1,1,190
Belgium,2011-04-12,344.57,1,2,187
Belgium,2011-04-15,142.16,1,1,77
Belgium,2011-04-18,269.66,1,1,204
Belgium,2011-04-28,495.24,1,1,275
Belgium,2011-05-05,149.97,1,1,72
Belgium,2011-05-06,381.08,1,1,182
Belgium,2011-05-10,480.90000000000003,1,1,494
Belgium,2011-05-12,181.82,1,1,83
Belgium,2011-05-17,297.38,1,1,168
Belgium,2011-05-23,514.8199999999999,2,3,179
Belgium,2011-05-24,-5.4,1,1,-4
Belgium,2011-05-27,726.43,1,1,651
Belgium,2011-06-01,84.92,1,1,57
Belgium,2011-06-05,1296.1200000000001,2,2,524
Belgium,2011-06-07,607.5500000000001,1,1,293
Belgium,2011-06-08,99.45,1,1,20
Belgium,2011-06-09,130.08,1,1,145
Belgium,2011-06-17,992.02,2,2,598
Belgium,2011-06-22,459.84,1,1,211
Belgium,2011-06-23,440.94,1,1,294
Belgium,2011-06-29,-1.65,1,1,-1
Belgium,2011-06-30,163.9,1,1,103
Belgium,2011-07-06,719.06,1,1,522
Belgium,2011-07-07,301.81,2,2,143
Belgium,2011-07-13,45.599999999999994,1,1,13
Belgium,2011-07-27,1214.81,1,1,704
Belgium,2011-07-28,192.34,1,1,296
Belgium,2011-08-02,777.95,1,1,267
Belgium,2011-08-04,355.56,1,1,190
Belgium,2011-08-11,469.25,1,1,340
Belgium,2011-08-12,209.62,1,1,175
Belgium,2011-08-19,771.97,3,3,582
Belgium,2011-08-25,752.79,2,2,358
Belgium,2011-08-31,198.98,1,1,149
Belgium,2011-09-02,632.0799999999999,2,2,298
Belgium,2011-09-09,1087.7,1,1,372
Belgium,2011-09-19,392.40000000000003,1,1,196
Belgium,2011-09-21,549.84,1,1,353
Belgium,2011-09-22,705.8100000000001,2,2,471
Belgium,2011-09-28,829.99,1,1,267
Belgium,2011-10-04,346.68,1,1,118
Belgium,2011-10-10,332.68,1,1,196
Belgium,2011-10-11,355.8,1,1,162
Belgium,2011-10-13,1491.59,1,1,1290
Belgium,2011-10-14,450.86,1,1,229
Belgium,2011-10-17,358.99,1,1,199
Belgium,2011-10-21,300.76,1,1,179
Belgium,2011-10-24,-34.0,2,2,-14
Belgium,2011-10-26,786.95,1,1,213
Belgium,2011-10-28,499.15999999999997,1,1,168
Belgium,2011-10-30,299.06,1,1,268
Belgium,2011-10-31,462.85,1,1,148
Belgium,2011-11-04,1673.03,2,2,769
Belgium,2011-11-07,739.5,1,2,364
Belgium,2011-11-08,506.55,1,2,246
Belgium,2011-11-10,-19.95,1,1,-1
Belgium,2011-11-17,1492.31,2,2,534
Belgium,2011-11-18,1040.39,1,1,315
Belgium,2011-11-20,265.83,1,1,125
Belgium,2011-11-22,301.25,1,1,185
Belgium,2011-11-24,-2.55,1,1,-1
Belgium,2011-11-28,-48.85,1,1,-7
Belgium,2011-11-29,281.9,1,1,21
Belgium,2011-12-02,302.02,2,2,498
Belgium,2011-12-06,898.77,2,2,396
Belgium,2011-12-09,208.64000000000001,1,1,203
EIRE,2010-12-01,555.38,1,2,243
EIRE,2010-12-02,15.0,2,2,4
EIRE,2010-12-03,2576.85,2,3,2575
EIRE,2010-12-06,1182.5,1,3,614
EIRE,2010-12-09,945.55,1,1,287
EIRE,2010-12-10,1156.05,1,1,379
EIRE,2010-12-16,486.56000000000006,1,2,328
EIRE,2010-12-17,1424.12,1,2,701
EIRE,2010-12-19,411.1,1,1,155
EIRE,2010-12-20,-760.3100000000001,1,2,-363
EIRE,2010-12-21,762.3000000000001,1,1,354
EIRE,2010-12-23,274.85,1,2,104
EIRE,2011-01-05,-232.67000000000002,1,1,-102
EIRE,2011-01-09,258.0,1,1,85
EIRE,2011-01-10,-15.0,0,1,-4
EIRE,2011-01-14,16774.72,1,1,6198
EIRE,2011-01-18,465.58,1,1,287
EIRE,2011-01-20,2756.84,1,1,1332
EIRE,2011-01-24,282.44,1,1,47
EIRE,2011-01-26,802.56,1,1,690
EIRE,2011-01-27,564.05,1,1,155
EIRE,2011-02-01,797.77,1,1,463
EIRE,2011-02-02,15.0,0,1,4
EIRE,2011-02-03,788.06,1,1,270
EIRE,2011-02-04,229.6,1,1,75
EIRE,2011-02-08,-25.8,1,1,-4
EIRE,2011-02-14,3120.71,1,2,1502
EIRE,2011-02-15,4362.5,1,2,2402
EIRE,2011-02-17,281.12,1,1,87
EIRE,2011-02-18,162.7,1,1,61
EIRE,2011-02-21,1011.08,0,2,472
EIRE,2011-02-23,1480.2,1,1,668
EIRE,2011-02-25,-2548.8,1,1,-672
EIRE,2011-03-01,2541.15,1,1,669
EIRE,2011-03-03,-10.2,0,1,-12
EIRE,2011-03-04,1185.49,1,2,857
EIRE,2011-03-10,6162.0199999999995,1,4,3416
EIRE,2011-03-11,0.0,1,4,0
EIRE,2011-03-14,1825.25,1,3,936
EIRE,2011-03-15,3389.6,3,3,1174
EIRE,2011-03-17,376.83,2,2,416
EIRE,2011-03-18,743.71,1,1,265
EIRE,2011-03-20,197.8,1,1,73
EIRE,2011-03-24,415.45,1,1,114
EIRE,2011-03-25,750.37,1,1,533
EIRE,2011-03-27,-24.79,1,1,-3
EIRE,2011-03-28,539.0,1,1,745
EIRE,2011-03-29,523.15,0,1,334
EIRE,2011-03-31,168.4,1,1,45
EIRE,2011-04-01,1407.19,1,1,713
EIRE,2011-04-04,2448.12,2,2,1239
EIRE,2011-04-06,955.99,1,1,655
EIRE,2011-04-07,583.41,1,2,390
EIRE,2011-04-11,998.53,1,2,590
EIRE,2011-04-17,446.74,1,1,151
EIRE,2011-04-19,367.62,1,1,234
EIRE,2011-04-27,362.9,1,1,163
EIRE,2011-05-03,1164.21,1,2,532
EIRE,2011-05-05,356.91,1,2,192
EIRE,2011-05-06,3869.18,1,1,1694
EIRE,2011-05-08,862.53,1,1,446
EIRE,2011-05-10,810.45,0,3,349
EIRE,2011-05-15,603.78,1,1,139
EIRE,2011-05-16,4615.36,3,4,2274
EIRE,2011-05-17,1164.76,1,3,412
EIRE,2011-05-18,1414.36,1,1,636
EIRE,2011-05-19,1203.8,1,2,397
EIRE,2011-05-20,380.32,1,1,226
EIRE,2011-05-23,1007.75,1,1,401
EIRE,2011-05-24,-20.3,1,1,-5
EIRE,2011-05-26,488.24,1,4,309
EIRE,2011-06-01,-7.5,1,1,-1
EIRE,2011-06-06,958.12,1,1,404
EIRE,2011-06-07,254.31,1,1,192
EIRE,2011-06-08,3351.32,1,2,2582
EIRE,2011-06-09,984.27,1,2,507
EIRE,2011-06-13,821.32,1,1,427
EIRE,2011-06-15,4483.58,1,2,3026
