country,month_year,monthly_revenue,unique_customers,unique_invoices,avg_views
Belgium,2017-11,130.0,1,1,1.0
Belgium,2017-12,0.0,1,2,7.0
Belgium,2018-01,0.0,3,5,7.446808510638298
Belgium,2018-02,3402.1800000000003,2,5,8.446153846153846
Belgium,2018-03,236.97,2,3,7.033333333333333
Belgium,2018-04,312.48,4,5,8.757281553398059
Belgium,2018-05,112.13,3,3,7.787878787878788
Belgium,2018-06,656.14,4,8,7.928571428571429
Belgium,2018-07,369.04,7,8,9.0
Belgium,2018-08,203.76,3,3,9.338235294117647
Belgium,2018-09,231.5,4,5,7.426229508196721
Belgium,2018-10,387.89,4,6,6.708860759493671
Belgium,2018-11,779.76,9,11,8.936254980079681
Belgium,2018-12,0.0,4,4,9.975903614457831
Belgium,2019-01,0.0,5,7,7.594202898550725
Belgium,2019-02,645.04,9,11,7.553459119496855
Belgium,2019-03,399.35,7,8,8.915254237288135
Belgium,2019-04,388.81,7,9,8.024390243902438
Belgium,2019-05,524.28,7,11,8.051948051948052
Belgium,2019-06,795.55,10,11,8.026548672566372
Belgium,2019-07,647.2,6,7,7.7023809523809526
EIRE,2017-11,570.21,2,4,6.19327731092437
EIRE,2017-12,0.0,2,26,7.410901467505241
EIRE,2018-01,0.0,5,49,8.906841339155749
EIRE,2018-02,2523.79,2,25,8.494208494208495
EIRE,2018-03,4686.84,3,33,7.0062893081761
EIRE,2018-04,3042.55,3,26,8.89069423929099
EIRE,2018-05,3761.58,2,26,8.015330188679245
EIRE,2018-06,3044.98,2,28,7.6613924050632916
EIRE,2018-07,4133.82,3,37,8.447782546494993
EIRE,2018-08,2789.03,3,34,7.771472392638037
EIRE,2018-09,8468.86,2,50,9.084426229508196
EIRE,2018-10,20010.97,2,60,8.154422788605697
EIRE,2018-11,5235.61,3,55,8.409240924092408
EIRE,2018-12,0.0,2,15,7.356353591160221
EIRE,2019-01,0.0,2,12,8.123636363636363
EIRE,2019-02,1302.3,2,14,7.429362880886426
EIRE,2019-03,9305.1,3,27,8.4352
EIRE,2019-04,1286.53,2,12,7.758957654723127
EIRE,2019-05,2374.79,3,26,7.787272727272727
EIRE,2019-06,10267.76,3,38,8.081491712707182
EIRE,2019-07,2479.81,3,28,9.424471299093655
France,2017-11,352.42,7,7,6.97029702970297
France,2017-12,0.0,10,15,7.711864406779661
France,2018-01,0.0,9,14,9.331506849315069
France,2018-02,1694.52,15,25,8.804
France,2018-03,911.74,11,16,8.40133779264214
France,2018-04,705.27,7,12,8.779735682819384
France,2018-05,1475.3,17,28,9.234215885947046
France,2018-06,1214.97,16,19,9.075794621026894
France,2018-07,4783.86,14,20,7.991124260355029
France,2018-08,3351.6,15,21,8.628491620111731
France,2018-09,1489.05,16,29,8.616122840690979
France,2018-10,1968.79,20,35,7.449213161659514
France,2018-11,3161.5099999999998,25,47,7.652924256951103
France,2018-12,0.0,13,21,7.8701923076923075
France,2019-01,0.0,25,42,8.726141078838173
France,2019-02,1383.95,18,28,9.149892933618844
France,2019-03,1477.59,19,27,8.327004219409282
France,2019-04,3319.02,16,23,7.283088235294118
France,2019-05,2451.65,26,37,8.562130177514794
France,2019-06,2070.0,27,36,8.84433962264151
France,2019-07,1579.72,19,25,8.497727272727273
Germany,2017-11,156.48,3,3,7.63265306122449
Germany,2017-12,0.0,10,26,8.79245283018868
Germany,2018-01,0.0,18,45,8.203338391502276
Germany,2018-02,1570.7,18,42,7.36701030927835
Germany,2018-03,2427.52,20,40,8.401721664275467
Germany,2018-04,2352.251,22,34,8.857988165680473
Germany,2018-05,1469.11,18,30,7.871536523929471
Germany,2018-06,2937.69,19,35,8.905034324942791
Germany,2018-07,4130.51,25,40,8.62757527733756
Germany,2018-08,1535.46,18,35,8.363247863247864
Germany,2018-09,2286.98,22,50,8.931623931623932
Germany,2018-10,3264.75,31,53,8.677352637021716
Germany,2018-11,3788.38,29,66,8.34251968503937
Germany,2018-12,0.0,19,36,8.685185185185185
Germany,2019-01,0.0,32,49,7.970819304152638
Germany,2019-02,1245.01,17,25,8.226299694189603
Germany,2019-03,2091.19,24,40,8.291958041958042
Germany,2019-04,2128.19,23,32,8.676229508196721
Germany,2019-05,3551.42,29,58,8.055384615384616
Germany,2019-06,1528.22,22,27,8.65658747300216
Germany,2019-07,3620.56,30,46,8.669546436285097
Hong Kong,2018-04,100.26,0,1,10.791666666666666
Hong Kong,2018-05,4793.22,0,2,1.5
Hong Kong,2018-06,54.6,0,1,11.333333333333334
Hong Kong,2018-08,3767.3,0,2,2.5
Hong Kong,2019-01,0.0,0,1,9.473684210526315
Hong Kong,2019-03,5167.52,0,2,0.5
Hong Kong,2019-04,113.41,0,1,9.09375
Hong Kong,2019-05,217.96,0,1,9.193548387096774
Hong Kong,2019-06,59.44,0,1,9.375
Netherlands,2017-11,49.33,1,2,10.434782608695652
Netherlands,2017-12,0.0,2,4,7.242424242424242
Netherlands,2018-01,0.0,5,8,10.05
Netherlands,2018-02,1199.31,1,11,9.205357142857142
Netherlands,2018-03,877.41,4,17,11.402010050251256
Netherlands,2018-04,734.49,8,10,7.9743589743589745
Netherlands,2018-05,850.73,5,9,10.515669515669515
Netherlands,2018-06,402.68,5,9,10.032894736842104
Netherlands,2018-07,499.18,7,9,7.783625730994152
Netherlands,2018-08,1134.51,7,16,10.538028169014085
Netherlands,2018-09,814.87,7,17,9.344311377245509
